Filename,File-bits,Entropy,Chi-square,Mean,Monte-Carlo-Pi,Serial-Correlation
./x-ray,67793920,0.952600,4405782.851326,0.372536,4.000000,0.108362
./samba,172851200,0.975708,5788138.192971,0.408504,3.943614,-0.019775
./nci,268427560,0.769850,80981795.000139,0.225369,4.000000,0.109167
./dickens,81539568,0.991071,1007223.189488,0.444429,4.000000,-0.020868
./mozilla,409763840,0.933706,37078194.138873,0.349595,3.645809,0.260109
./webster,331669624,0.998939,487768.968537,0.480825,4.000000,0.043237
./ooffice,49217536,0.958831,2782135.003605,0.381123,3.529721,0.129461
./sao,58015552,0.999764,18965.392433,0.490960,3.320611,0.063042
./reymont,53017616,0.985077,1092991.076293,0.428209,3.994528,-0.147423
./xml,42762240,0.998125,111084.457924,0.474516,3.999987,-0.007012
./osdb,80685472,0.981271,2085819.811984,0.419608,3.937571,-0.001571
./mr,79764512,0.596562,40264448.684021,0.144757,3.999995,0.293867
